cell_id,row,col,R_mean_2020,R_std_2020,G_mean_2020,G_std_2020,B_mean_2020,B_std_2020,NDVI_1_mean_2020,NDVI_1_std_2020,NDVI_2_mean_2020,NDVI_2_std_2020,NDVI_3_mean_2020,NDVI_3_std_2020,SWIR_1_mean_2020,SWIR_1_std_2020,SWIR_2_mean_2020,SWIR_2_std_2020,SWIR_3_mean_2020,SWIR_3_std_2020
0,0,0,206.74859619140625,54.32597351074219,207.4447021484375,52.221866607666016,196.6280059814453,60.284481048583984,235.66319274902344,43.93954849243164,204.36770629882807,35.42350769042969,0.0,0.0,222.5334930419922,39.61910629272461,253.5679931640625,7.1548848152160645,207.0718994140625,54.16845703125
1,0,1,206.93370056152344,57.237186431884766,204.88890075683597,57.7487907409668,193.71890258789065,64.70723724365234,242.26980590820312,33.96039962768555,197.93170166015625,36.17935180664063,0.0,0.0,224.0341033935547,42.17824172973633,253.3802032470703,8.152339935302734,207.25379943847656,57.05748748779297
2,0,2,128.3365020751953,63.34184265136719,128.91940307617188,63.39173889160156,113.3144989013672,69.00077819824219,205.8336944580078,73.99697875976562,211.273193359375,35.15543746948242,0.0,0.0,158.20790100097656,55.08353042602539,230.61300659179688,36.46302795410156,128.81820678710938,63.28144836425781
3,0,3,224.33099365234372,45.235538482666016,227.81329345703125,42.746219635009766,221.5240020751953,50.915557861328125,244.69760131835935,33.12217712402344,206.21620178222656,33.31401062011719,0.0,0.0,224.3730926513672,36.73273468017578,254.8287048339844,2.815271615982056,224.5684967041016,45.05495834350586
4,0,4,95.61309814453124,57.399864196777344,108.2126007080078,53.133548736572266,88.47940063476562,59.19929885864258,128.7281036376953,91.59553527832033,184.47149658203125,40.61336517333984,0.0,0.0,138.17919921875,50.04742813110352,244.83639526367188,24.132003784179688,96.12740325927734,57.364105224609375
5,0,5,132.37130737304688,62.89404678344727,132.43890380859375,62.93354415893555,118.6602020263672,65.39546966552734,218.851806640625,58.10031127929688,205.63450622558597,36.04008483886719,0.0,0.0,166.56979370117188,54.97145080566406,227.74400329589844,39.530948638916016,132.875,62.8807258605957
6,0,6,204.21060180664065,55.64599609375,204.48399353027344,55.33297729492188,194.41650390625,61.02998733520508,242.60479736328125,30.787578582763672,194.7151031494141,38.90766525268555,0.0,0.0,219.6237030029297,41.94585800170898,250.7769927978516,14.823685646057127,204.5581970214844,55.46165084838867
7,0,7,166.16180419921875,65.83479309082031,160.97149658203125,63.530029296875,147.32159423828125,66.54206085205078,223.73080444335935,59.74722290039063,198.83169555664065,36.25020980834961,0.0,0.0,197.19430541992188,59.51372528076172,246.94009399414065,17.336305618286133,166.62069702148438,65.76219940185547
8,0,8,142.22459411621094,62.89999771118164,144.02049255371094,62.5771598815918,132.3444061279297,65.1980209350586,223.35589599609372,48.43437576293945,213.30540466308597,29.52788543701172,0.0,0.0,175.0771942138672,56.68792343139648,234.47520446777344,32.83871841430664,142.70849609375,62.865989685058594
9,0,9,125.7083969116211,62.80884552001953,132.19869995117188,62.35923004150391,123.62409973144533,65.3112564086914,198.3531036376953,69.57320404052734,212.0113067626953,32.89914321899414,0.0,0.0,152.54080200195312,55.95820617675781,233.7407989501953,30.114582061767575,126.19879913330078,62.7479248046875
