cell_id,row,col,R_mean_diff,R_std_diff,G_mean_diff,G_std_diff,B_mean_diff,B_std_diff,NDVI_1_mean_diff,NDVI_1_std_diff,NDVI_2_mean_diff,NDVI_2_std_diff,NDVI_3_mean_diff,NDVI_3_std_diff,SWIR_1_mean_diff,SWIR_1_std_diff,SWIR_2_mean_diff,SWIR_2_std_diff,SWIR_3_mean_diff,SWIR_3_std_diff
0,0,0,94.44129943847656,47.56560516357422,80.12059783935547,27.14752769470215,51.921199798583984,22.27662849426269,158.1645050048828,89.40737915039062,196.40359497070312,37.483619689941406,0.0,0.0,170.22019958496094,49.978981018066406,243.2563934326172,23.6894588470459,94.94889831542967,47.55883026123047
1,0,1,101.25289916992188,46.156986236572266,81.11129760742188,24.304807662963867,53.61000061035156,20.71656608581543,181.7816925048828,85.37614440917969,196.37989807128903,33.384910583496094,0.0,0.0,174.87559509277344,52.6370735168457,231.0243988037109,31.01514434814453,101.7477035522461,46.13460922241211
2,0,2,100.64949798583984,43.02695083618164,77.60990142822266,25.20630645751953,51.40570068359375,20.96459579467773,215.0453948974609,63.76499557495117,205.8271026611328,47.43492889404297,0.0,0.0,161.0469970703125,56.6501579284668,208.658203125,53.02177429199219,101.13390350341795,43.03062438964844
3,0,3,54.66189956665039,38.370582580566406,51.83539962768555,23.361495971679688,30.2101993560791,16.861358642578125,92.3125991821289,89.97087097167969,170.39739990234375,43.5352897644043,0.0,0.0,117.69770050048828,65.88861083984375,225.4873962402344,46.2583236694336,55.150001525878906,38.37822341918945
4,0,4,63.20940017700195,28.062753677368164,62.14950180053711,17.174514770507812,37.28210067749024,17.287513732910156,112.9020004272461,83.68885040283203,178.79339599609375,37.39490509033203,0.0,0.0,138.8636016845703,41.320091247558594,230.59800720214844,39.705528259277344,63.704498291015625,28.061288833618164
5,0,5,95.18419647216795,44.26788330078125,84.37200164794922,37.38310623168945,64.39610290527344,36.0,203.6616973876953,68.10411071777344,196.6790008544922,39.79026412963867,0.0,0.0,156.2279052734375,36.551849365234375,195.83799743652344,38.20764923095703,95.67620086669922,44.24809265136719
6,0,6,108.28250122070312,49.60198974609375,92.6719970703125,41.944583892822266,68.4126968383789,42.67208099365234,206.44659423828125,76.88619995117188,194.80560302734372,42.54232406616211,0.0,0.0,167.37269592285156,45.296905517578125,212.58450317382807,47.21430969238281,108.77349853515624,49.57814407348633
7,0,7,110.12770080566406,41.946475982666016,85.62190246582031,28.51268768310547,59.77719879150391,26.6352653503418,207.96690368652344,72.894287109375,195.7592010498047,32.956024169921875,0.0,0.0,185.6764068603516,48.90438461303711,221.2144012451172,38.600730895996094,110.62539672851562,41.94618225097656
8,0,8,67.88069915771484,24.59598159790039,64.04530334472656,20.20240592956543,46.79949951171875,20.43284797668457,169.8354034423828,71.28324890136719,205.6573944091797,32.74339294433594,0.0,0.0,125.78790283203124,27.615772247314453,193.40960693359372,32.63517379760742,68.3947982788086,24.59308242797852
9,0,9,52.46649932861328,32.95375061035156,52.23630142211914,23.734811782836918,35.7140998840332,22.87749481201172,111.46050262451172,99.40341186523438,177.69500732421875,44.349727630615234,0.0,0.0,108.2686996459961,44.14010238647461,205.8867950439453,34.090824127197266,52.95790100097656,32.95600891113281
10,0,10,25.127500534057617,20.041418075561523,32.88750076293945,15.198678970336914,18.747100830078125,12.933481216430664,24.58880043029785,52.40598678588867,139.9040069580078,24.942665100097656,0.0,0.0,61.71680068969727,32.069026947021484,203.77720642089844,24.523569107055664,25.608999252319336,20.047157287597656
11,0,11,32.170501708984375,24.14729118347168,37.11029815673828,15.934890747070312,22.588699340820312,13.000581741333008,50.68339920043945,70.94451904296875,152.88780212402344,34.51008224487305,0.0,0.0,73.48899841308594,46.63551330566406,193.6035003662109,26.884004592895508,32.669898986816406,24.144330978393555
12,0,12,29.32159996032715,12.42698574066162,36.65850067138672,9.700271606445312,21.19540023803711,7.480108261108398,38.76250076293945,39.93717575073242,147.2895965576172,19.79274559020996,0.0,0.0,68.6438980102539,21.968334197998047,201.4837951660156,31.675296783447266,29.821800231933597,12.429643630981444
13,0,13,24.83609962463379,10.959171295166016,33.19089889526367,8.152450561523438,18.810800552368164,6.435542106628418,29.102399826049805,38.10341644287109,142.49310302734375,18.98733139038086,0.0,0.0,57.697601318359375,18.550670623779297,198.12179565429688,30.094890594482425,25.332300186157227,10.952244758605955
