cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
10,0,10,11.034006634840082,49.5498517398657,11.042989787681275,49.55567953770728,49.55276563878649,11.038498211260679,NW,Linear Regression,spatial_group_kfold,3,0.05,0.0,-0.05,0.12773336989086953,-0.07517233247675939,-0.05256103741411014,0.08547143456307141,0.033087046234479674,0.07773336989086953,0.07517233247675939,0,0,high
11,0,11,11.042989787681275,49.5498517398657,11.051972940522472,49.55567953770728,49.55276563878649,11.047481364101873,NW,Linear Regression,spatial_group_kfold,3,-0.12,0.0,0.12,0.11842930516380185,-0.0761247653649809,-0.04230453979882094,0.10099719598476413,0.04829323036935218,0.23842930516380184,0.0761247653649809,0,0,high
12,0,12,11.051972940522472,49.5498517398657,11.060956093363668,49.55567953770728,49.55276563878649,11.05646451694307,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.3110592658631811,-0.045381747362625575,-0.26567751850055554,0.11806613316688368,0.045790513910210315,0.3110592658631811,0.045381747362625575,0,0,high
13,0,13,11.060956093363668,49.5498517398657,11.069939246204862,49.55567953770728,49.55276563878649,11.065447669784266,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.2632572936631564,-0.03404338364903974,-0.22921391001411667,0.09415533101614532,0.034576593691806365,0.2632572936631564,0.03404338364903974,0,0,high
14,0,14,11.069939246204862,49.5498517398657,11.078922399046055,49.55567953770728,49.55276563878649,11.074430822625459,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.2708014231575684,-0.005146532027521788,-0.2656548911300466,0.1326309063527602,0.0415076243300461,0.2708014231575684,0.005146532027521788,0,0,medium
15,0,15,11.078922399046055,49.5498517398657,11.087905551887252,49.55567953770728,49.55276563878649,11.083413975466653,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.24292870488151763,-0.03439446548188943,-0.2085342393996282,0.057127078976415606,0.023533944842399526,0.24292870488151763,0.03439446548188943,0,0,high
16,0,16,11.087905551887252,49.5498517398657,11.096888704728448,49.55567953770728,49.55276563878649,11.09239712830785,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.23800580320418774,0.012034788450924217,-0.25004059165511194,0.10331290284294883,0.034278242674763613,0.23800580320418774,0.012034788450924217,0,0,high
17,0,17,11.096888704728448,49.5498517398657,11.105871857569644,49.55567953770728,49.55276563878649,11.101380281149046,NW,Linear Regression,spatial_group_kfold,3,0.0,0.0,-0.0,0.18543024672722036,0.005789039844100279,-0.19121928657132065,0.09871058741377892,0.028436412148671084,0.18543024672722036,0.005789039844100279,0,0,high
18,0,18,11.105871857569644,49.5498517398657,11.114855010410835,49.55567953770728,49.55276563878649,11.11036343399024,NW,Linear Regression,spatial_group_kfold,3,-0.11,0.0,0.11,-0.07516765977600726,-0.072868643513872,0.14803630328987927,0.0749439235001106,0.042305522115445034,0.034832340223992744,0.072868643513872,0,0,high
19,0,19,11.114855010410835,49.5498517398657,11.123838163252032,49.55567953770728,49.55276563878649,11.119346586831433,NW,Linear Regression,spatial_group_kfold,3,-0.01,0.0,0.01,0.029692875763387805,-0.05465312954941364,0.024960253786025836,0.07318082716791634,0.03127178703703898,0.03969287576338781,0.05465312954941364,0,0,high
20,0,20,11.123838163252032,49.5498517398657,11.13282131609323,49.55567953770728,49.55276563878649,11.12832973967263,NE,Linear Regression,spatial_group_kfold,2,-0.16,0.0,0.16,0.2889233655707566,0.06139849556705446,-0.35032186113781105,0.08424064213986283,0.0373751385643962,0.4489233655707566,0.06139849556705446,0,0,high
21,0,21,11.13282131609323,49.5498517398657,11.141804468934424,49.55567953770728,49.55276563878649,11.137312892513826,NE,Linear Regression,spatial_group_kfold,2,0.13,0.0,-0.13,0.2812096134544934,0.09449259230530416,-0.37570220575979757,0.18607729690701763,0.03006217185780699,0.1512096134544934,0.09449259230530416,0,0,low
22,0,22,11.141804468934424,49.5498517398657,11.15078762177562,49.55567953770728,49.55276563878649,11.146296045355022,NE,Linear Regression,spatial_group_kfold,2,-0.09,0.0,0.09,-0.09372856661119444,-0.014748847625688651,0.10847741423688309,0.1608183580543072,0.03844158968726749,0.003728566611194445,0.014748847625688651,0,0,medium
23,0,23,11.15078762177562,49.5498517398657,11.159770774616817,49.55567953770728,49.55276563878649,11.155279198196219,NE,Linear Regression,spatial_group_kfold,2,0.49,0.0,-0.49,0.0800930579603999,0.028367669426156962,-0.10846072738655685,0.12483179774382347,0.026394525421179395,0.4099069420396001,0.028367669426156962,0,0,high
24,0,24,11.159770774616817,49.5498517398657,11.16875392745801,49.55567953770728,49.55276563878649,11.164262351037413,NE,Linear Regression,spatial_group_kfold,2,-0.03,0.0,0.03,-0.7636974015283094,0.03475544686351631,0.7289419546647932,0.19777367291183448,0.13661854782916585,0.7336974015283094,0.03475544686351631,0,0,low
25,0,25,11.16875392745801,49.5498517398657,11.177737080299204,49.55567953770728,49.55276563878649,11.173245503878608,NE,Linear Regression,spatial_group_kfold,2,-0.28,0.0,0.28,-0.5939523092785589,0.04616176006929822,0.5477905492092607,0.1896157049147222,0.13462890972511943,0.3139523092785589,0.04616176006929822,0,0,low
26,0,26,11.177737080299204,49.5498517398657,11.1867202331404,49.55567953770728,49.55276563878649,11.182228656719802,NE,Linear Regression,spatial_group_kfold,2,-0.14,0.0,0.14,-0.6411641974672927,-0.02978080052688442,0.6709449979941771,0.13012051485574544,0.07202543404822125,0.5011641974672927,0.02978080052688442,0,0,medium
27,0,27,11.1867202331404,49.5498517398657,11.195703385981597,49.55567953770728,49.55276563878649,11.191211809560999,NE,Linear Regression,spatial_group_kfold,2,0.03,0.0,-0.03,-0.8550308084819892,-0.02309106864076793,0.8781218771227571,0.16272278574017007,0.12942861165283517,0.8850308084819892,0.02309106864076793,0,0,medium
28,0,28,11.195703385981597,49.5498517398657,11.204686538822791,49.55567953770728,49.55276563878649,11.200194962402193,NE,Linear Regression,spatial_group_kfold,2,-0.27,0.0,0.27,-0.45350727634009524,0.06488733088910084,0.38861994545099443,0.15242452584219565,0.09183775910802551,0.18350727634009523,0.06488733088910084,0,0,medium
